Var1,V
Epn2,1
Dctn3,1
Ctsb,5
Sorl1,3
Gcdh,4
1810026J23Rik,4
Clstn3,5
Fxyd7,4
Fbxl16,3
Cd47,3
Chrm3,3
Mrps7,2
Ppp2r5b,3
Pygm,5
Dhrs4,4
Ugp2,5
Eefsec,2
Ppp2r5a,3
Selenbp1,4
Nucb1,3
Aldh1l1,3
Rgs20,3
Dgke,3
Prkar2b,1
Akap1,4
Akap7,1
Prkar1b,1
Akap10,1
Pkia,3
Rhoa,1
Asic1,1
Cacng2,1
Atp2b1,4
Ppp1r9b,1
Gria4,1
Add2,1
Gad1,1
Gad2,7
Phka1,6
Stmn2,3
Adcy2,3
Gmfb,1
Rgs10,3
Dmtn,1
Itpka,1
Gabrb3,1
Adcy5,3
Ppp1r1b,1
Grin2a,1
Lzts1,6
Cpd,4
Arf4,5
Rab6b,4
Arfip2,4
Cyth2,1
Acadm,4
Glrx5,4
Cyth1,1
Ap3s2,4
Agap1,1
Gda,5
Scarb2,1
Ppp6r2,3
Sptb,1
Pacs1,3
Synrg,4
Dner,1
Slc16a1,4
Rab18,4
Rmnd5a,4
Rab3c,4
Ndufa10,4
Idh3g,5
Scp2,5
Rab3b,4
Ndufa5,4
Arl1,4
Exoc6b,7
Wdr26,2
Rab39b,4
Ehbp1,4
Nrxn1,1
Rab15,4
Slc1a3,1
Sept4,7
Uqcrb,4
Uqcrq,4
Uqcrfs1,4
Abcd2,4
Cryab,5
Atp6v0a1,4
Anxa6,5
Atp6v0d1,4
Ndufs4,4
Ndufb4,4
Atp5f1,4
Atp5h,4
Chmp5,4
Ndufa12,4
Ndufa11,4
Ndufa6,4
Ndufb5,4
Ndufb7,4
Mtch2,4
Hsd17b4,5
Lactb,4
Ndufb8,4
Ndufs7,4
Cox7a2l,4
Kcnab1,1
