Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M39,10.2535511363636,4,0.0363665106443036,1,KO.Ube3a.Cortex-WT.Cortex,-0.201546556952215,-0.441095794348764,0.0380026804443351,0.122854639572977,FALSE,0.646668373732435
M40,16.7272727272727,4,0.00218355139328089,0.155032148922943,KO.Shank2.Cortex-WT.Cortex,-0.0209514288320628,-0.213993688093466,0.17209083042934,0.996918629222318,FALSE,0.621413314347762
M40,16.7272727272727,4,0.00218355139328089,0.155032148922943,KO.Shank3.Cortex-WT.Cortex,0.313895178760115,0.120852919498712,0.506937438021518,0.000802203303794435,FALSE,0.621413314347762
M40,16.7272727272727,4,0.00218355139328089,0.155032148922943,HET.Syngap1.Cortex-WT.Cortex,0.0628538928924536,-0.130188366368949,0.255896152153856,0.848789148775988,FALSE,0.621413314347762
M40,16.7272727272727,4,0.00218355139328089,0.155032148922943,KO.Ube3a.Cortex-WT.Cortex,-0.189897384568497,-0.382939643829899,0.00314487469290617,0.0547018610585314,FALSE,0.621413314347762
M41,16.3323863636364,4,0.00260409227332133,0.184890551405814,KO.Shank2.Cortex-WT.Cortex,0.0937069865716401,-0.119924119732656,0.307338092875936,0.665455910061038,FALSE,0.578777399692938
M41,16.3323863636364,4,0.00260409227332133,0.184890551405814,KO.Shank3.Cortex-WT.Cortex,-0.132396773284368,-0.346027879588664,0.0812343330199286,0.356631913404372,FALSE,0.578777399692938
M41,16.3323863636364,4,0.00260409227332133,0.184890551405814,HET.Syngap1.Cortex-WT.Cortex,0.205191712788142,-0.00843939351615389,0.418822819092438,0.0628463814277671,FALSE,0.578777399692938
M41,16.3323863636364,4,0.00260409227332133,0.184890551405814,KO.Ube3a.Cortex-WT.Cortex,0.251495062810718,0.0378639565064213,0.465126169115014,0.0163314221649312,FALSE,0.578777399692938
M42,9.7421875,4,0.0450017993378079,1,KO.Shank2.Cortex-WT.Cortex,0.0321616095222627,-0.206243829374448,0.270567048418973,0.992910699606015,FALSE,0.798458255959771
M42,9.7421875,4,0.0450017993378079,1,KO.Shank3.Cortex-WT.Cortex,-0.0824827640156165,-0.320888202912327,0.155922674881094,0.819645060991286,FALSE,0.798458255959771
M42,9.7421875,4,0.0450017993378079,1,HET.Syngap1.Cortex-WT.Cortex,0.100426908367697,-0.137978530529014,0.338832347264407,0.696239773671174,FALSE,0.798458255959771
M42,9.7421875,4,0.0450017993378079,1,KO.Ube3a.Cortex-WT.Cortex,-0.249994031956366,-0.488399470853077,-0.0115885930596557,0.0369170352188952,FALSE,0.798458255959771
M43,11.6761363636364,4,0.0199293268780932,1,KO.Shank2.Cortex-WT.Cortex,0.099891828569275,-0.128537172546822,0.328320829685372,0.667845976208791,FALSE,0.671013945648123
M43,11.6761363636364,4,0.0199293268780932,1,KO.Shank3.Cortex-WT.Cortex,0.205071170186614,-0.0233578309294825,0.433500171302712,0.090146998725829,FALSE,0.671013945648123
M43,11.6761363636364,4,0.0199293268780932,1,HET.Syngap1.Cortex-WT.Cortex,-0.160628905085131,-0.389057906201228,0.0678000960309658,0.246824015957325,FALSE,0.671013945648123
M43,11.6761363636364,4,0.0199293268780932,1,KO.Ube3a.Cortex-WT.Cortex,0.150993173027223,-0.0774358280888738,0.37942217414332,0.298896487252203,FALSE,0.671013945648123
